t,n_grads,f,comm_rounds,var_error
0.0,0.0,2.5326206333451706,0.0,2.304277268412409
1.0,32560.0,2.4041501017054396,1.0,2.2696129097931723
2.0,65120.0,2.278381856173743,2.0,2.2359725872510454
3.0,97680.0,2.1563052072695874,3.0,2.2035536470591626
4.0,130240.0,2.0383448697487077,4.0,2.172409681294819
5.0,162800.0,1.9248995435750234,5.0,2.142582398145335
6.0,195360.0,1.8163604168128342,6.0,2.1141068741620006
7.0,227920.0,1.7130951849560851,7.0,2.0870098191593596
8.0,260480.0,1.615431168678608,8.0,2.0613078973551486
9.0,293040.0,1.5236375071812025,9.0,2.037006155077236
10.0,325600.0,1.4379093865172128,10.0,2.0140969136605653
11.0,358160.0,1.3583558845030375,11.0,1.9925592348457069
12.0,390720.0,1.2849931031707957,12.0,1.972359073828434
13.0,423280.0,1.2177434689594693,13.0,1.9534501378934142
14.0,455840.0,1.1564412440261782,14.0,1.935775386073867
15.0,488400.0,1.1008434043919892,15.0,1.919269025707921
16.0,520960.0,1.0506443748750445,16.0,1.9038588106665906
17.0,553520.0,1.0054927826651285,17.0,1.8894684299949325
18.0,586080.0,0.965008428740928,18.0,1.876019794275086
19.0,618640.0,0.9287979991430756,19.0,1.8634350706174
20.0,651200.0,0.896468514557608,20.0,1.8516383725168306
21.0,683760.0,0.8676380139815821,21.0,1.8405570652672731
22.0,716320.0,0.8419433905286209,22.0,1.8301226924313916
23.0,748880.0,0.8190455977622375,23.0,1.820271559983512
24.0,781440.0,0.7986326183586464,24.0,1.8109450321229912
25.0,814000.0,0.7804206544705722,25.0,1.8020895987940238
26.0,846560.0,0.7641539922332177,26.0,1.7936567730008328
27.0,879120.0,0.749603942002082,27.0,1.7856028693270498
28.0,911680.0,0.736567185372456,28.0,1.77788870625487
29.0,944240.0,0.7248637862398232,29.0,1.7704792657276078
30.0,976800.0,0.7143350556487174,30.0,1.7633433349764884
31.0,1009360.0,0.7048414033484927,31.0,1.7564531484547727
32.0,1041920.0,0.6962602639157022,32.0,1.749784041937506
33.0,1074480.0,0.6884841512388072,33.0,1.743314126385758
34.0,1107040.0,0.6814188704612953,34.0,1.7370239858668746
35.0,1139600.0,0.6749818992796169,35.0,1.7308964014579509
36.0,1172160.0,0.6691009390311876,36.0,1.7249161014341272
37.0,1204720.0,0.6637126287772455,37.0,1.719069536976284
38.0,1237280.0,0.6587614113731398,38.0,1.7133446819752678
39.0,1269840.0,0.6541985383917706,39.0,1.707730855144351
40.0,1302400.0,0.6499812000309758,40.0,1.702218562488167
41.0,1334960.0,0.6460717662916206,41.0,1.6967993581480474
42.0,1367520.0,0.642437126407274,42.0,1.6914657217019975
43.0,1400080.0,0.63904811449666,43.0,1.6862109501079576
44.0,1432640.0,0.6358790105349863,44.0,1.6810290626176976
45.0,1465200.0,0.6329071068955413,45.0,1.6759147171394566
46.0,1497760.0,0.6301123318342572,46.0,1.6708631366797269
47.0,1530320.0,0.6274769223401443,47.0,1.6658700446417165
48.0,1562880.0,0.6249851397347057,48.0,1.6609316078961358
49.0,1595440.0,0.6226230222664875,49.0,1.656044386666985
50.0,1628000.0,0.6203781697130851,50.0,1.65120529039014
51.0,1660560.0,0.6182395556768708,51.0,1.6464115388057956
52.0,1693120.0,0.6161973638494458,52.0,1.6416606276376373
53.0,1725680.0,0.6142428450315036,53.0,1.6369502982928141
54.0,1758240.0,0.6123681921377878,54.0,1.6322785110881952
55.0,1790800.0,0.6105664307992451,55.0,1.6276434215710462
56.0,1823360.0,0.6088313235039667,56.0,1.6230433595570253
57.0,1855920.0,0.6071572855019545,57.0,1.6184768105562206
58.0,1888480.0,0.6055393109423856,58.0,1.61394239929962
59.0,1921040.0,0.6039729079213525,59.0,1.6094388751147
60.0,1953600.0,0.6024540412978352,60.0,1.6049650989304225
61.0,1986160.0,0.6009790822900993,61.0,1.6005200317194004
62.0,2018720.0,0.5995447639974288,62.0,1.5961027242089338
63.0,2051280.0,0.5981481421061935,63.0,1.5917123077134336
64.0,2083840.0,0.5967865601374187,64.0,1.5873479859588777
65.0,2116400.0,0.5954576186775362,65.0,1.583009027785745
66.0,2148960.0,0.5941591481068311,66.0,1.57869476063064
67.0,2181520.0,0.5928891844029223,67.0,1.5744045646988398
68.0,2214080.0,0.5916459476508635,68.0,1.570137867750458
69.0,2246640.0,0.5904278229383455,69.0,1.56589414043213
70.0,2279200.0,0.5892333433550585,70.0,1.5616728920940868
71.0,2311760.0,0.588061174850439,71.0,1.557473667039546
72.0,2344320.0,0.586910102734521,72.0,1.5532960411594747
73.0,2376880.0,0.5857790196330982,73.0,1.549139618911178
74.0,2409440.0,0.5846669147314378,74.0,1.5450040306039117
75.0,2442000.0,0.5835728641608391,75.0,1.540888929958877
76.0,2474560.0,0.5824960223998007,76.0,1.5367939919146165
77.0,2507120.0,0.5814356145768234,77.0,1.5327189106520704
78.0,2539680.0,0.5803909295751943,78.0,1.5286633978163862
79.0,2572240.0,0.5793613138517637,79.0,1.5246271809150995
80.0,2604800.0,0.5783461658919324,80.0,1.5206100018745166
81.0,2637360.0,0.5773449312320287,81.0,1.5166116157380976
82.0,2669920.0,0.5763570979881116,82.0,1.5126317894923789
83.0,2702480.0,0.5753821928371466,83.0,1.5086703010075169
84.0,2735040.0,0.574419777402583,84.0,1.5047269380808965
85.0,2767600.0,0.5734694450017185,85.0,1.500801497573476
86.0,2800160.0,0.5725308177169551,86.0,1.4968937846295995
87.0,2832720.0,0.5716035437572261,87.0,1.4930036119720025
88.0,2865280.0,0.5706872950795552,88.0,1.4891307992645444
89.0,2897840.0,0.5697817652439687,89.0,1.4852751725360198
90.0,2930400.0,0.5688866674778733,90.0,1.4814365636590345
91.0,2962960.0,0.5680017329285598,91.0,1.4776148098785653
92.0,2995520.0,0.5671267090847776,92.0,1.4738097533853673
93.0,3028080.0,0.5662613583503268,93.0,1.4700212409298565
94.0,3060640.0,0.5654054567544181,94.0,1.4662491234725588
95.0,3093200.0,0.5645587927851363,95.0,1.4624932558675847
96.0,3125760.0,0.5637211663337679,96.0,1.458753496575949
97.0,3158320.0,0.562892387739016,97.0,1.455029707405865
98.0,3190880.0,0.5620722769212544,98.0,1.4513217532774245
99.0,3223440.0,0.5612606625979808,99.0,1.4476295020093273
100.0,3256000.0,0.5604573815725238,100.0,1.4439528241255513
101.0,3288560.0,0.5596622780888716,101.0,1.4402915926800586
