t,n_grads,f,comm_rounds,var_error
1.0,0.0,0.014487296895728525,1.0,-1796.4052759662745
2.0,0.0,0.013928810590812453,2.0,-1796.4058344525795
3.0,0.0,0.013430449030792189,3.0,-1796.4063328141397
4.0,0.0,0.012992111400301683,4.0,-1796.40677115177
5.0,0.0,0.01261315744472895,5.0,-1796.4071501057256
6.0,0.0,0.012292116376728958,6.0,-1796.4074711467936
7.0,0.0,0.012026406137890423,7.0,-1796.4077368570324
8.0,0.0,0.011812160571497124,8.0,-1796.4079511025989
9.0,0.0,0.01164426388910615,9.0,-1796.4081189992812
10.0,0.0,0.011516637305217447,10.0,-1796.408246625865
11.0,0.0,0.011422726164623465,11.0,-1796.4083405370056
12.0,0.0,0.011356052306910489,12.0,-1796.4084072108635
13.0,0.0,0.011310681240253995,13.0,-1796.40845258193
14.0,0.0,0.011281511283880653,14.0,-1796.4084817518865
15.0,0.0,0.01126437454732369,15.0,-1796.408498888623
16.0,0.0,0.011255996926887009,16.0,-1796.4085072662435
17.0,0.0,0.01125388035190326,17.0,-1796.4085093828185
18.0,0.0,0.01125615883897438,18.0,-1796.4085071043314
19.0,0.0,0.011261459835228449,19.0,-1796.4085018033352
20.0,0.0,0.01126878533451379,20.0,-1796.4084944778358
21.0,0.0,0.0112774165332405,21.0,-1796.4084858466372
22.0,0.0,0.011286840396748772,22.0,-1796.4084764227737
23.0,0.0,0.011296694477770106,23.0,-1796.4084665686926
24.0,0.0,0.011306726051425301,24.0,-1796.408456537119
25.0,0.0,0.011316762096750204,25.0,-1796.4084465010735
26.0,0.0,0.011326687332438107,26.0,-1796.4084365758379
27.0,0.0,0.011336428167346408,27.0,-1796.408426835003
28.0,0.0,0.011345940971217293,28.0,-1796.408417322199
29.0,0.0,0.011355203495364584,29.0,-1796.408408059675
30.0,0.0,0.011364208591284512,30.0,-1796.4083990545791
31.0,0.0,0.011372959608839274,31.0,-1796.4083903035614
32.0,0.0,0.011381467025356085,32.0,-1796.408381796145
33.0,0.0,0.011389745979549766,33.0,-1796.4083735171907
34.0,0.0,0.011397814472563607,34.0,-1796.4083654486979
35.0,0.0,0.011405692062220118,35.0,-1796.4083575711081
36.0,0.0,0.0114133989227359,36.0,-1796.4083498642476
37.0,0.0,0.011420955175675204,37.0,-1796.4083423079946
38.0,0.0,0.01142838042235883,38.0,-1796.408334882748
39.0,0.0,0.011435693425846886,39.0,-1796.4083275697444
40.0,0.0,0.011442911903787581,40.0,-1796.4083203512666
41.0,0.0,0.011450052403163746,41.0,-1796.4083132107671
42.0,0.0,0.011457130235202029,42.0,-1796.4083061329352
43.0,0.0,0.011464159454105768,43.0,-1796.4082991037162
44.0,0.0,0.011471152867314637,44.0,-1796.4082921103031
45.0,0.0,0.011478122068033505,45.0,-1796.4082851411024
46.0,0.0,0.011485077483066645,46.0,-1796.4082781856873
