t,n_grads,f,comm_rounds,var_error
1.0,0.0,0.016457897543831104,1.0,-1796.4033053656265
2.0,0.0,0.012761870713459932,2.0,-1796.407001392457
3.0,0.0,0.013568609921359878,3.0,-1796.406194653249
4.0,0.0,0.013352949337964728,4.0,-1796.4064103138323
5.0,0.0,0.013629634510457313,5.0,-1796.40613362866
6.0,0.0,0.013729769242936134,6.0,-1796.4060334939275
7.0,0.0,0.013865196506563248,7.0,-1796.405898066664
8.0,0.0,0.013955544614447939,8.0,-1796.405807718556
9.0,0.0,0.014043926384124375,9.0,-1796.4057193367862
10.0,0.0,0.014120182770347477,10.0,-1796.4056430804
11.0,0.0,0.014193528586915739,11.0,-1796.4055697345834
12.0,0.0,0.014262787137297785,12.0,-1796.405500476033
13.0,0.0,0.014329814235154408,13.0,-1796.4054334489351
14.0,0.0,0.014394482024963389,14.0,-1796.4053687811454
15.0,0.0,0.014457163136085244,15.0,-1796.4053061000343
16.0,0.0,0.01451785276982637,16.0,-1796.4052454104005
17.0,0.0,0.014576625148144978,17.0,-1796.4051866380223
18.0,0.0,0.014633478769607407,18.0,-1796.4051297844007
19.0,0.0,0.01468842371704931,19.0,-1796.4050748394534
20.0,0.0,0.01474145662081153,20.0,-1796.4050218065495
21.0,0.0,0.014792578889466588,21.0,-1796.404970684281
22.0,0.0,0.01484179338797266,22.0,-1796.4049214697825
23.0,0.0,0.01488910837833086,23.0,-1796.404874154792
24.0,0.0,0.014934537028714922,24.0,-1796.4048287261417
25.0,0.0,0.014978097976623281,25.0,-1796.4047851651937
26.0,0.0,0.015019814905405625,26.0,-1796.404743448265
27.0,0.0,0.01505971622414258,27.0,-1796.4047035469462
28.0,0.0,0.015097834522904597,28.0,-1796.4046654286474
29.0,0.0,0.01513420603743948,29.0,-1796.404629057133
30.0,0.0,0.015168870083523668,30.0,-1796.4045943930869
31.0,0.0,0.015201868517645678,31.0,-1796.4045613946528
32.0,0.0,0.0152332452245537,32.0,-1796.4045300179457
33.0,0.0,0.015263045646308336,33.0,-1796.404500217524
34.0,0.0,0.015291316354443026,34.0,-1796.4044719468159
35.0,0.0,0.0153181046676732,35.0,-1796.4044451585028
36.0,0.0,0.015343458314007347,36.0,-1796.4044198048564
37.0,0.0,0.015367425135543851,37.0,-1796.4043958380348
38.0,0.0,0.015390052833160575,38.0,-1796.404373210337
39.0,0.0,0.01541138874800806,39.0,-1796.4043518744224
40.0,0.0,0.01543147967647886,40.0,-1796.404331783494
41.0,0.0,0.01545037171533362,41.0,-1796.404312891455
42.0,0.0,0.015468110133748866,42.0,-1796.4042951530366
43.0,0.0,0.015484739269220957,43.0,-1796.4042785239012
44.0,0.0,0.015500302444466025,44.0,-1796.4042629607259
45.0,0.0,0.015514841902684698,45.0,-1796.4042484212678
46.0,0.0,0.015528398758795775,46.0,-1796.4042348644116
47.0,0.0,0.01554101296447645,47.0,-1796.404222250206
48.0,0.0,0.015552723285071155,48.0,-1796.4042105398853
49.0,0.0,0.015563567286642953,49.0,-1796.4041996958838
50.0,0.0,0.015573581331638267,50.0,-1796.4041896818387
51.0,0.0,0.015582800581816584,51.0,-1796.4041804625886
52.0,0.0,0.015591259007261351,52.0,-1796.404172004163
53.0,0.0,0.01559898940043684,53.0,-1796.40416427377
54.0,0.0,0.015606023394389228,54.0,-1796.404157239776
55.0,0.0,0.015612391484309172,55.0,-1796.404150871686
56.0,0.0,0.015618123051778935,56.0,-1796.4041451401185
57.0,0.0,0.015623246391120836,57.0,-1796.4041400167791
58.0,0.0,0.015627788737346222,58.0,-1796.404135474433
59.0,0.0,0.015631776295277063,59.0,-1796.404131486875
60.0,0.0,0.01563523426947542,60.0,-1796.404128028901
61.0,0.0,0.015638186894672078,61.0,-1796.4041250762757
62.0,0.0,0.015640657466433856,62.0,-1796.4041226057038
