t,n_grads,f,comm_rounds,var_error
1.0,0.0,0.018040982654307872,1.0,-1796.401722280516
2.0,0.0,0.01582608674789231,2.0,-1796.4039371764225
3.0,0.0,0.014180710950057275,3.0,-1796.4055825522203
4.0,0.0,0.014231100646883175,4.0,-1796.4055321625235
5.0,0.0,0.014282700434397255,5.0,-1796.4054805627359
6.0,0.0,0.014316456425972433,6.0,-1796.4054468067443
7.0,0.0,0.014345700026435782,7.0,-1796.4054175631438
8.0,0.0,0.014378149499984196,8.0,-1796.4053851136703
9.0,0.0,0.014415503135784633,9.0,-1796.4053477600346
10.0,0.0,0.014457173449910495,10.0,-1796.4053060897204
11.0,0.0,0.014502138374952935,11.0,-1796.4052611247953
12.0,0.0,0.014549442585606908,12.0,-1796.4052138205848
13.0,0.0,0.014598273142081765,13.0,-1796.4051649900282
14.0,0.0,0.01464794989857884,14.0,-1796.4051153132718
15.0,0.0,0.014697907910360975,15.0,-1796.40506535526
16.0,0.0,0.014747681867936622,16.0,-1796.4050155813025
17.0,0.0,0.014796892308927391,17.0,-1796.4049663708615
18.0,0.0,0.014845233224948984,18.0,-1796.4049180299453
19.0,0.0,0.014892461041999415,19.0,-1796.4048708021282
20.0,0.0,0.014938384973009967,20.0,-1796.4048248781974
21.0,0.0,0.014982858669134201,21.0,-1796.4047804045013
22.0,0.0,0.015025773048134385,22.0,-1796.4047374901222
23.0,0.0,0.01506705016273672,23.0,-1796.4046962130076
24.0,0.0,0.01510663797491812,24.0,-1796.4046566251955
25.0,0.0,0.015144505913011117,25.0,-1796.4046187572574
26.0,0.0,0.0151806411018873,26.0,-1796.4045826220686
27.0,0.0,0.015215045169956407,27.0,-1796.4045482180004
28.0,0.0,0.01524773154933289,28.0,-1796.404515531621
29.0,0.0,0.015278723196916878,29.0,-1796.4044845399735
30.0,0.0,0.01530805067422746,30.0,-1796.404455212496
31.0,0.0,0.015335750532656043,31.0,-1796.4044275126378
32.0,0.0,0.01536186395847466,32.0,-1796.4044013992118
33.0,0.0,0.015386435638557796,33.0,-1796.404376827532
34.0,0.0,0.015409512813477397,34.0,-1796.404353750357
35.0,0.0,0.015431144489526405,35.0,-1796.4043321186807
36.0,0.0,0.015451380785420571,36.0,-1796.404311882385
37.0,0.0,0.015470272393018325,37.0,-1796.4042929907773
38.0,0.0,0.015487870134466451,38.0,-1796.404275393036
39.0,0.0,0.015504224600799537,39.0,-1796.4042590385695
40.0,0.0,0.015519385859257393,40.0,-1796.404243877311
41.0,0.0,0.015533403218491738,41.0,-1796.4042298599518
42.0,0.0,0.015546325042459376,42.0,-1796.404216938128
43.0,0.0,0.015558198605184747,43.0,-1796.404205064565
44.0,0.0,0.015569069979755363,44.0,-1796.4041941931905
45.0,0.0,0.015578983955918939,45.0,-1796.4041842792144
46.0,0.0,0.015587983981507098,46.0,-1796.4041752791888
47.0,0.0,0.015596112123639736,47.0,-1796.4041671510467
48.0,0.0,0.015603409046284033,48.0,-1796.4041598541241
49.0,0.0,0.015609914001270314,49.0,-1796.404153349169
50.0,0.0,0.015615664830315894,50.0,-1796.40414759834
51.0,0.0,0.015620697975990083,51.0,-1796.4041425651944
52.0,0.0,0.015625048499878166,52.0,-1796.4041382146704
53.0,0.0,0.015628750106478427,53.0,-1796.4041345130638
54.0,0.0,0.015631835171600633,54.0,-1796.4041314279987
55.0,0.0,0.01563433477423381,55.0,-1796.4041289283962
