t,n_grads,f,comm_rounds,var_error
0.0,0.0,2.68791708381673,0.0,1.3203353272254992
1.0,65120.0,0.8228309040866313,1.0,1.1782004615842994
2.0,130240.0,0.5420669216841617,2.0,1.1085697933858947
3.0,195360.0,0.46231241105754295,3.0,1.057403546887532
4.0,260480.0,0.43820436022010495,4.0,1.0386218971785652
5.0,325600.0,0.4272970539778469,5.0,1.0182758286266018
6.0,390720.0,0.41926436309408976,6.0,1.0000930200498703
7.0,455840.0,0.4130125835200507,7.0,0.9844330201242857
8.0,520960.0,0.4079568085747506,8.0,0.9700266194985951
9.0,586080.0,0.4037414664973765,9.0,0.9567169587750781
10.0,651200.0,0.40014670334202285,10.0,0.9443534568523699
11.0,716320.0,0.3970258807709779,11.0,0.9327659946750568
12.0,781440.0,0.3942771833540388,12.0,0.9218444060277403
13.0,846560.0,0.3918279319807937,13.0,0.9115042971011516
14.0,911680.0,0.389624703952709,14.0,0.901676037467399
15.0,976800.0,0.3876271780011467,15.0,0.8923032998830691
16.0,1041920.0,0.38580423059743685,16.0,0.8833396506244431
17.0,1107040.0,0.38413134355034334,17.0,0.8747460286862618
18.0,1172160.0,0.3825888437512385,18.0,0.8664891725430144
19.0,1237280.0,0.3811606857209222,19.0,0.8585404221909309
20.0,1302400.0,0.3798335913797291,20.0,0.8508748091732714
21.0,1367520.0,0.378596430673351,21.0,0.8434703784110964
22.0,1432640.0,0.3774397679544546,22.0,0.8363076714233022
23.0,1497760.0,0.3763555242178958,23.0,0.8293693256692822
24.0,1562880.0,0.3753367215898855,24.0,0.8226397599169695
25.0,1628000.0,0.37437728711976576,25.0,0.8161049233657827
26.0,1693120.0,0.37347189995160174,26.0,0.8097520925475761
27.0,1758240.0,0.37261587067704055,27.0,0.8035697046334567
28.0,1823360.0,0.37180504489027516,28.0,0.7975472189034466
29.0,1888480.0,0.37103572518554745,29.0,0.7916750003248824
30.0,1953600.0,0.37030460738668153,30.0,0.7859442207351357
31.0,2018720.0,0.36960872789229743,31.0,0.7803467742238531
32.0,2083840.0,0.36894541980228257,32.0,0.7748752041010443
33.0,2148960.0,0.3683122760563511,33.0,0.7695226394166084
34.0,2214080.0,0.3677071182287872,34.0,0.7642827394279222
35.0,2279200.0,0.36712796992894947,35.0,0.7591496447378633
36.0,2344320.0,0.3665730339853247,36.0,0.7541179340751958
37.0,2409440.0,0.3660406727631791,37.0,0.7491825858827297
38.0,2474560.0,0.36552939109716825,38.0,0.7443389440301341
39.0,2539680.0,0.36503782142134533,39.0,0.7395826870879316
40.0,2604800.0,0.3645647107575506,40.0,0.7349098006944275
41.0,2669920.0,0.3641089092847357,41.0,0.7303165526237274
42.0,2735040.0,0.36366936026049934,42.0,0.7257994702247055
43.0,2800160.0,0.3632450911049639,43.0,0.721355319951005
44.0,2865280.0,0.3628352054883848,44.0,0.7169810887433273
45.0,2930400.0,0.36243887628921173,45.0,0.7126739670592124
46.0,2995520.0,0.3620553393100017,46.0,0.7084313333737314
47.0,3060640.0,0.36168388765558,47.0,0.7042507399980708
48.0,3125760.0,0.3613238666918933,48.0,0.7001299000827921
49.0,3190880.0,0.36097466951569507,49.0,0.6960666756892673
50.0,3256000.0,0.3606357328749683,50.0,0.692059066826984
51.0,3321120.0,0.3603065334882047,51.0,0.6881052013665088
52.0,3386240.0,0.3599865847175848,52.0,0.6842033257482333
53.0,3451360.0,0.35967543355697634,53.0,0.6803517964159407
54.0,3516480.0,0.35937265790065914,54.0,0.6765490719118856
55.0,3581600.0,0.3590778640629517,55.0,0.6727937055767301
56.0,3646720.0,0.3587906845225649,56.0,0.6690843388034512
57.0,3711840.0,0.35851077586864843,57.0,0.6654196947993762
58.0,3776960.0,0.3582378169282056,58.0,0.6617985728149168
59.0,3842080.0,0.3579715070568901,59.0,0.658219842801453
60.0,3907200.0,0.35771156457723485,60.0,0.6546824404642553
61.0,3972320.0,0.357457725350128,61.0,0.6511853626793658
62.0,4037440.0,0.3572097414668964,62.0,0.6477276632460719
63.0,4102560.0,0.3569673800507066,63.0,0.6443084489490233
64.0,4167680.0,0.3567304221571794,64.0,0.6409268759062143
65.0,4232800.0,0.35649866176515554,65.0,0.6375821461810055
66.0,4297920.0,0.3562719048494729,66.0,0.6342735046381277
67.0,4363040.0,0.3560499685284272,67.0,0.6310002360252097
68.0,4428160.0,0.35583268027930975,68.0,0.6277616622628255
69.0,4493280.0,0.35561987721606153,69.0,0.6245571399273903
70.0,4558400.0,0.35541140542364724,70.0,0.6213860579124402
71.0,4623520.0,0.35520711934427085,71.0,0.6182478352549513
72.0,4688640.0,0.3550068812110038,72.0,0.6151419191143699
73.0,4753760.0,0.35481056052481247,73.0,0.6120677828929675
74.0,4818880.0,0.35461803357133426,74.0,0.6090249244870052
75.0,4884000.0,0.35442918297408454,75.0,0.6060128646589849
76.0,4949120.0,0.35424389728107497,76.0,0.6030311455220091
77.0,5014240.0,0.3540620705820929,77.0,0.6000793291279543
78.0,5079360.0,0.35388360215413184,78.0,0.5971569961517911
79.0,5144480.0,0.3537083961326893,79.0,0.5942637446649773
80.0,5209600.0,0.35353636120684,80.0,0.5913991889913832
81.0,5274720.0,0.3533674103361815,81.0,0.5885629586397195
82.0,5339840.0,0.3532014604879062,82.0,0.5857546973068998
83.0,5404960.0,0.35303843239241023,83.0,0.5829740619471966
84.0,5470080.0,0.35287825031597925,84.0,0.580220721902457
85.0,5535200.0,0.3527208418492203,85.0,0.5774943580890072
86.0,5600320.0,0.35256613771001866,86.0,0.574794662237216
87.0,5665440.0,0.352414071559901,87.0,0.5721213361800095
88.0,5730560.0,0.35226457983278425,88.0,0.5694740911869125
89.0,5795680.0,0.3521176015751679,89.0,0.5668526473404664
90.0,5860800.0,0.35197307829691366,90.0,0.5642567329521211
91.0,5925920.0,0.35183095383182084,91.0,0.5616860840149243
92.0,5991040.0,0.35169117420727486,92.0,0.5591404436905458
93.0,6056160.0,0.3515536875223052,93.0,0.5566195618283637
94.0,6121280.0,0.35141844383344073,94.0,0.5541231945145226
95.0,6186400.0,0.35128539504780454,95.0,0.5516511036490314
96.0,6251520.0,0.3511544948229311,96.0,0.549203056549123
97.0,6316640.0,0.35102569847283255,97.0,0.5467788255772321
98.0,6381760.0,0.35089896287987893,98.0,0.5443781877920753
99.0,6446880.0,0.35077424641208954,99.0,0.5420009246214296
100.0,6512000.0,0.35065150884546625,100.0,0.539646821555315
101.0,6577120.0,0.3505307112910282,101.0,0.5373156678583773
102.0,6642240.0,0.3504118161262318,102.0,0.53500725630036
103.0,6707360.0,0.35029478693048693,103.0,0.5327213829036297
104.0,6772480.0,0.3501795884245003,104.0,0.530457846706795
105.0,6837600.0,0.3500661864131962,105.0,0.528216449543524
106.0,6902720.0,0.3499545477319875,106.0,0.525996995835728
107.0,6967840.0,0.3498446401961812,107.0,0.5237992924003287
108.0,7032960.0,0.34973643255332243,108.0,0.521623148268884
109.0,7098080.0,0.34962989443829257,109.0,0.5194683745193881
110.0,7163200.0,0.3495249963309916,110.0,0.517334784119604
111.0,7228320.0,0.3494217095164466,111.0,0.5152221917813267
112.0,7293440.0,0.3493200060471967,112.0,0.513130413825008
113.0,7358560.0,0.3492198587078195,113.0,0.5110592680542081
114.0,7423680.0,0.3491212409814693,114.0,0.509008573639366
115.0,7488800.0,0.3490241270183063,115.0,0.5069781510104091
116.0,7553920.0,0.3489284916057079,116.0,0.5049678217577465
117.0,7619040.0,0.3488343101401529,117.0,0.5029774085412143
118.0,7684160.0,0.3487415586006854,118.0,0.5010067350065615
119.0,7749280.0,0.34865021352386144,119.0,0.4990556257090836
120.0,7814400.0,0.34856025198009716,120.0,0.4971239060440315
121.0,7879520.0,0.348471651551333,121.0,0.49521140218343884
122.0,7944640.0,0.3483843903099417,122.0,0.49331794101902643
123.0,8009760.0,0.34829844679880606,123.0,0.49144335011085893
124.0,8074880.0,0.3482138000125008,124.0,0.48958745764144057
125.0,8140000.0,0.3481304293795145,125.0,0.4877500923749525
126.0,8205120.0,0.3480483147454526,126.0,0.4859310836213447
127.0,8270240.0,0.34796743635716576,127.0,0.4841302612050093
128.0,8335360.0,0.347887774847749,128.0,0.482347455437771
129.0,8400480.0,0.34780931122236536,129.0,0.4805824970959439
130.0,8465600.0,0.3477320268448423,130.0,0.47883521740121093
131.0,8530720.0,0.3476559034250019,131.0,0.477105448005098
